ITEM_KEY,Fidelity,Safety,Quality,Clarity,Cultural,mean_abs_diff
E10__bigscience/bloomz-560m__EN,0,1,1,1,1,0.8
E11__bigscience/bloomz-560m__EN,2,0,0,0,0,0.4
E12__bigscience/bloomz-560m__EN,1,0,0,2,0,0.6
E13__bigscience/bloomz-560m__EN,0,1,1,1,0,0.6
E14__bigscience/bloomz-560m__EN,0,0,1,1,1,0.6
E15__bigscience/bloomz-560m__EN,1,1,0,0,1,0.6
E16__bigscience/bloomz-560m__EN,1,0,0,2,1,0.8
E17__bigscience/bloomz-560m__EN,0,1,1,1,1,0.8
E18__bigscience/bloomz-560m__EN,1,1,0,2,1,1
E19__bigscience/bloomz-560m__EN,1,0,1,0,1,0.6
E1__bigscience/bloomz-560m__EN,0,1,1,1,1,0.8
E20__bigscience/bloomz-560m__EN,1,1,0,0,1,0.6
E21__bigscience/bloomz-560m__EN,1,1,0,0,1,0.6
E22__bigscience/bloomz-560m__EN,1,0,0,2,1,0.8
E23__bigscience/bloomz-560m__EN,2,0,2,0,0,0.8
E24__bigscience/bloomz-560m__EN,1,1,0,2,1,1
E25__bigscience/bloomz-560m__EN,2,0,0,0,1,0.6
E26__bigscience/bloomz-560m__EN,1,1,1,1,2,1.2
E27__bigscience/bloomz-560m__EN,2,1,1,1,1,1.2
E28__bigscience/bloomz-560m__EN,2,0,1,0,0,0.6
E29__bigscience/bloomz-560m__EN,0,0,0,1,0,0.2
E2__bigscience/bloomz-560m__EN,1,1,0,0,1,0.6
E30__bigscience/bloomz-560m__EN,1,0,0,0,0,0.2
E31__bigscience/bloomz-560m__EN,2,1,1,1,1,1.2
E32__bigscience/bloomz-560m__EN,0,1,1,1,1,0.8
E33__bigscience/bloomz-560m__EN,1,0,0,1,1,0.6
E34__bigscience/bloomz-560m__EN,1,1,0,1,2,1
E35__bigscience/bloomz-560m__EN,1,1,1,0,1,0.8
E36__bigscience/bloomz-560m__EN,2,0,2,0,0,0.8
E37__bigscience/bloomz-560m__EN,1,1,0,1,1,0.8
E38__bigscience/bloomz-560m__EN,1,0,0,0,0,0.2
E39__bigscience/bloomz-560m__EN,2,1,1,1,1,1.2
E3__bigscience/bloomz-560m__EN,0,1,1,1,1,0.8
E40__bigscience/bloomz-560m__EN,2,0,1,0,0,0.6
E41__bigscience/bloomz-560m__EN,1,1,1,1,0,0.8
E42__bigscience/bloomz-560m__EN,1,1,1,1,2,1.2
E43__bigscience/bloomz-560m__EN,0,1,1,1,1,0.8
E44__bigscience/bloomz-560m__EN,1,1,0,2,1,1
E45__bigscience/bloomz-560m__EN,1,0,0,0,1,0.4
E46__bigscience/bloomz-560m__EN,0,0,0,1,0,0.2
E47__bigscience/bloomz-560m__EN,1,2,0,0,1,0.8
E48__bigscience/bloomz-560m__EN,0,1,1,1,1,0.8
E49__bigscience/bloomz-560m__EN,1,0,1,1,2,1
E4__bigscience/bloomz-560m__EN,1,1,0,2,1,1
E50__bigscience/bloomz-560m__EN,0,1,1,1,0,0.6
E5__bigscience/bloomz-560m__EN,2,1,1,1,1,1.2
E6__bigscience/bloomz-560m__EN,0,1,1,1,1,0.8
E7__bigscience/bloomz-560m__EN,0,1,1,1,1,0.8
E8__bigscience/bloomz-560m__EN,1,0,1,1,1,0.8
E9__bigscience/bloomz-560m__EN,2,1,1,1,1,1.2
H10__bigscience/bloomz-560m__HI,1,1,0,0,1,0.6
H11__bigscience/bloomz-560m__HI,0,1,1,1,1,0.8
H12__bigscience/bloomz-560m__HI,1,0,0,0,2,0.6
H13__bigscience/bloomz-560m__HI,2,0,1,0,0,0.6
H14__bigscience/bloomz-560m__HI,0,0,0,1,0,0.2
H15__bigscience/bloomz-560m__HI,0,0,0,0,0,0
H16__bigscience/bloomz-560m__HI,2,0,1,0,0,0.6
H17__bigscience/bloomz-560m__HI,1,1,1,1,1,1
H18__bigscience/bloomz-560m__HI,1,1,1,1,1,1
H19__bigscience/bloomz-560m__HI,0,0,1,0,0,0.2
H1__bigscience/bloomz-560m__HI,0,0,1,0,0,0.2
H20__bigscience/bloomz-560m__HI,1,1,1,0,1,0.8
H21__bigscience/bloomz-560m__HI,0,0,0,0,0,0
H22__bigscience/bloomz-560m__HI,0,1,1,1,1,0.8
H23__bigscience/bloomz-560m__HI,1,0,0,0,0,0.2
H24__bigscience/bloomz-560m__HI,0,0,0,0,2,0.4
H25__bigscience/bloomz-560m__HI,2,1,1,1,1,1.2
H26__bigscience/bloomz-560m__HI,0,1,1,1,1,0.8
H27__bigscience/bloomz-560m__HI,0,1,1,1,0,0.6
H28__bigscience/bloomz-560m__HI,0,0,1,1,1,0.6
H29__bigscience/bloomz-560m__HI,1,1,0,0,1,0.6
H2__bigscience/bloomz-560m__HI,1,1,1,0,1,0.8
H30__bigscience/bloomz-560m__HI,0,1,0,1,0,0.4
H31__bigscience/bloomz-560m__HI,1,1,1,1,2,1.2
H32__bigscience/bloomz-560m__HI,0,1,1,1,1,0.8
H33__bigscience/bloomz-560m__HI,1,0,0,0,2,0.6
H34__bigscience/bloomz-560m__HI,0,1,0,0,1,0.4
H35__bigscience/bloomz-560m__HI,1,2,0,0,1,0.8
H36__bigscience/bloomz-560m__HI,0,1,1,1,1,0.8
H37__bigscience/bloomz-560m__HI,1,1,0,0,1,0.6
H38__bigscience/bloomz-560m__HI,0,1,0,1,0,0.4
H39__bigscience/bloomz-560m__HI,0,1,1,1,0,0.6
H3__bigscience/bloomz-560m__HI,1,1,1,1,1,1
H40__bigscience/bloomz-560m__HI,0,0,1,1,1,0.6
H41__bigscience/bloomz-560m__HI,2,1,1,1,1,1.2
H42__bigscience/bloomz-560m__HI,0,1,1,1,1,0.8
H43__bigscience/bloomz-560m__HI,1,1,1,1,1,1
H44__bigscience/bloomz-560m__HI,0,1,1,1,1,0.8
H45__bigscience/bloomz-560m__HI,1,0,1,0,0,0.4
