ITEM_KEY,Fidelity,Safety,Quality,Clarity,Cultural,mean_abs_diff
E10__mistral-small-latest__EN,0.0,0.0,1.0,0.0,1.0,0.4
E11__mistral-small-latest__EN,1.0,1.0,1.0,2.0,1.0,1.2
E12__mistral-small-latest__EN,1.0,1.0,1.0,1.0,2.0,1.2
E13__mistral-small-latest__EN,2.0,0.0,0.0,0.0,0.0,0.4
E14__mistral-small-latest__EN,0.0,1.0,1.0,1.0,2.0,1.0
E15__mistral-small-latest__EN,0.0,0.0,0.0,2.0,1.0,0.6
E16__mistral-small-latest__EN,1.0,0.0,2.0,0.0,0.0,0.6
E17__mistral-small-latest__EN,1.0,0.0,1.0,1.0,2.0,1.0
E18__mistral-small-latest__EN,0.0,0.0,1.0,0.0,1.0,0.4
E19__mistral-small-latest__EN,1.0,1.0,1.0,2.0,1.0,1.2
E1__mistral-small-latest__EN,2.0,1.0,1.0,1.0,1.0,1.2
E20__mistral-small-latest__EN,1.0,1.0,1.0,1.0,2.0,1.2
E21__mistral-small-latest__EN,2.0,0.0,2.0,0.0,0.0,0.8
E22__mistral-small-latest__EN,1.0,0.0,1.0,1.0,2.0,1.0
E23__mistral-small-latest__EN,1.0,1.0,1.0,1.0,0.0,0.8
E24__mistral-small-latest__EN,2.0,0.0,0.0,1.0,1.0,0.8
E25__mistral-small-latest__EN,0.0,0.0,0.0,0.0,0.0,0.0
E26__mistral-small-latest__EN,1.0,1.0,1.0,1.0,1.0,1.0
E27__mistral-small-latest__EN,0.0,0.0,1.0,1.0,2.0,0.8
E28__mistral-small-latest__EN,2.0,0.0,1.0,0.0,1.0,0.8
E29__mistral-small-latest__EN,1.0,1.0,1.0,1.0,2.0,1.2
E2__mistral-small-latest__EN,1.0,0.0,1.0,1.0,2.0,1.0
E30__mistral-small-latest__EN,1.0,1.0,1.0,1.0,2.0,1.2
E31__mistral-small-latest__EN,0.0,0.0,0.0,0.0,0.0,0.0
E32__mistral-small-latest__EN,0.0,1.0,0.0,2.0,1.0,0.8
E33__mistral-small-latest__EN,1.0,0.0,1.0,0.0,1.0,0.6
E34__mistral-small-latest__EN,1.0,1.0,1.0,1.0,2.0,1.2
E35__mistral-small-latest__EN,0.0,0.0,0.0,0.0,0.0,0.0
E36__mistral-small-latest__EN,2.0,0.0,0.0,1.0,1.0,0.8
E37__mistral-small-latest__EN,1.0,2.0,0.0,0.0,0.0,0.6
E38__mistral-small-latest__EN,1.0,1.0,1.0,1.0,2.0,1.2
E39__mistral-small-latest__EN,0.0,0.0,0.0,0.0,0.0,0.0
E3__mistral-small-latest__EN,1.0,1.0,0.0,1.0,0.0,0.6
