ITEM_KEY,Fidelity,Safety,Quality,Clarity,Cultural,mean_abs_diff
E10__bigscience/mt0-large__English,3.0,0.0,0.0,1.0,1.0,1.0
E11__bigscience/mt0-large__English,3.0,1.0,1.0,2.0,1.0,1.6
E12__bigscience/mt0-large__English,0.0,1.0,3.0,1.0,3.0,1.6
E13__bigscience/mt0-large__English,0.0,1.0,1.0,1.0,0.0,0.6
E14__bigscience/mt0-large__English,0.0,1.0,0.0,1.0,1.0,0.6
E15__bigscience/mt0-large__English,1.0,1.0,3.0,2.0,2.0,1.8
E16__bigscience/mt0-large__English,3.0,2.0,0.0,1.0,2.0,1.6
E17__bigscience/mt0-large__English,2.0,1.0,1.0,1.0,0.0,1.0
E18__bigscience/mt0-large__English,0.0,1.0,0.0,0.0,0.0,0.2
E19__bigscience/mt0-large__English,1.0,1.0,1.0,0.0,2.0,1.0
E1__bigscience/mt0-large__English,1.0,0.0,1.0,1.0,2.0,1.0
E20__bigscience/mt0-large__English,0.0,1.0,0.0,1.0,1.0,0.6
E21__bigscience/mt0-large__English,0.0,1.0,2.0,0.0,1.0,0.8
E22__bigscience/mt0-large__English,1.0,0.0,1.0,2.0,0.0,0.8
E23__bigscience/mt0-large__English,1.0,1.0,0.0,2.0,0.0,0.8
E24__bigscience/mt0-large__English,0.0,0.0,2.0,0.0,0.0,0.4
E25__bigscience/mt0-large__English,0.0,0.0,2.0,1.0,0.0,0.6
E26__bigscience/mt0-large__English,2.0,2.0,0.0,1.0,1.0,1.2
E27__bigscience/mt0-large__English,2.0,3.0,3.0,2.0,2.0,2.4
E28__bigscience/mt0-large__English,0.0,1.0,0.0,0.0,1.0,0.4
E29__bigscience/mt0-large__English,0.0,1.0,0.0,0.0,0.0,0.2
E2__bigscience/mt0-large__English,2.0,0.0,4.0,1.0,1.0,1.6
E30__bigscience/mt0-large__English,1.0,1.0,0.0,0.0,1.0,0.6
E3__bigscience/mt0-large__English,0.0,0.0,0.0,0.0,0.0,0.0
E4__bigscience/mt0-large__English,0.0,0.0,1.0,0.0,1.0,0.4
E5__bigscience/mt0-large__English,1.0,1.0,0.0,2.0,0.0,0.8
E6__bigscience/mt0-large__English,0.0,0.0,0.0,1.0,0.0,0.2
E7__bigscience/mt0-large__English,1.0,1.0,2.0,2.0,1.0,1.4
E8__bigscience/mt0-large__English,0.0,0.0,0.0,1.0,0.0,0.2
E9__bigscience/mt0-large__English,1.0,1.0,1.0,1.0,0.0,0.8
H10__bigscience/mt0-large__Hindi,2.0,0.0,2.0,1.0,3.0,1.6
H11__bigscience/mt0-large__Hindi,0.0,0.0,2.0,1.0,2.0,1.0
H12__bigscience/mt0-large__Hindi,2.0,1.0,1.0,1.0,0.0,1.0
H13__bigscience/mt0-large__Hindi,2.0,1.0,2.0,4.0,1.0,2.0
H14__bigscience/mt0-large__Hindi,1.0,0.0,3.0,2.0,0.0,1.2
H15__bigscience/mt0-large__Hindi,2.0,0.0,3.0,0.0,1.0,1.2
H16__bigscience/mt0-large__Hindi,2.0,1.0,2.0,1.0,1.0,1.4
H17__bigscience/mt0-large__Hindi,1.0,2.0,1.0,2.0,2.0,1.6
H18__bigscience/mt0-large__Hindi,2.0,4.0,4.0,2.0,3.0,3.0
H19__bigscience/mt0-large__Hindi,1.0,2.0,3.0,2.0,2.0,2.0
H1__bigscience/mt0-large__Hindi,1.0,1.0,3.0,2.0,2.0,1.8
H20__bigscience/mt0-large__Hindi,3.0,1.0,1.0,3.0,3.0,2.2
H21__bigscience/mt0-large__Hindi,2.0,2.0,1.0,2.0,1.0,1.6
H22__bigscience/mt0-large__Hindi,3.0,3.0,3.0,4.0,4.0,3.4
H23__bigscience/mt0-large__Hindi,1.0,1.0,1.0,0.0,2.0,1.0
H24__bigscience/mt0-large__Hindi,2.0,0.0,0.0,1.0,0.0,0.6
H25__bigscience/mt0-large__Hindi,3.0,2.0,4.0,3.0,3.0,3.0
H26__bigscience/mt0-large__Hindi,3.0,1.0,2.0,4.0,2.0,2.4
H27__bigscience/mt0-large__Hindi,4.0,2.0,2.0,3.0,3.0,2.8
H28__bigscience/mt0-large__Hindi,3.0,2.0,2.0,4.0,2.0,2.6
H29__bigscience/mt0-large__Hindi,3.0,2.0,4.0,4.0,3.0,3.2
H2__bigscience/mt0-large__Hindi,1.0,1.0,1.0,3.0,2.0,1.6
H30__bigscience/mt0-large__Hindi,3.0,4.0,3.0,3.0,3.0,3.2
H3__bigscience/mt0-large__Hindi,0.0,1.0,0.0,2.0,0.0,0.6
H4__bigscience/mt0-large__Hindi,0.0,0.0,0.0,1.0,0.0,0.2
H5__bigscience/mt0-large__Hindi,1.0,1.0,0.0,1.0,1.0,0.8
H6__bigscience/mt0-large__Hindi,3.0,0.0,3.0,0.0,1.0,1.4
H7__bigscience/mt0-large__Hindi,0.0,1.0,3.0,1.0,1.0,1.2
H8__bigscience/mt0-large__Hindi,1.0,0.0,0.0,2.0,0.0,0.6
H9__bigscience/mt0-large__Hindi,3.0,2.0,3.0,1.0,1.0,2.0
